"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"22/Oct/22 07:54" " 0:00:37" " 0:00:35" " 0:00:36" 0
"22/Oct/22 08:27" " 0:00:39" " 0:00:35" " 0:00:37" 0
"22/Oct/22 09:00" " 0:00:40" " 0:00:38" " 0:00:39" 0
"22/Oct/22 09:34" " 0:00:42" " 0:00:38" " 0:00:40" 0
"22/Oct/22 10:07" " 0:00:37" " 0:00:36" " 0:00:37" 0
"22/Oct/22 10:40" " 0:00:39" " 0:00:35" " 0:00:37" 0
"22/Oct/22 11:13" " 0:00:39" " 0:00:36" " 0:00:37" 0
"22/Oct/22 11:46" " 0:00:41" " 0:00:38" " 0:00:40" 0
"22/Oct/22 12:20" " 0:00:44" " 0:00:38" " 0:00:41" 0
"22/Oct/22 12:53" " 0:00:40" " 0:00:37" " 0:00:39" 0
"22/Oct/22 13:26" " 0:00:39" " 0:00:36" " 0:00:37" 0
"22/Oct/22 14:00" " 0:00:40" " 0:00:37" " 0:00:39" 0
"22/Oct/22 14:33" " 0:00:38" " 0:00:36" " 0:00:37" 0
"22/Oct/22 15:06" " 0:00:38" " 0:00:37" " 0:00:38" 0
"22/Oct/22 15:39" " 0:00:39" " 0:00:36" " 0:00:38" 0
"22/Oct/22 16:12" " 0:00:38" " 0:00:37" " 0:00:37" 0
"22/Oct/22 16:45" " 0:00:39" " 0:00:35" " 0:00:37" 0
"22/Oct/22 17:18" " 0:00:38" " 0:00:37" " 0:00:37" 0
"22/Oct/22 17:52" " 0:00:52" " 0:00:36" " 0:00:40" 0
"22/Oct/22 18:25" " 0:00:44" " 0:00:36" " 0:00:39" 0
"22/Oct/22 18:58" " 0:00:39" " 0:00:36" " 0:00:38" 0
"22/Oct/22 19:32" " 0:00:42" " 0:00:35" " 0:00:38" 0
"22/Oct/22 20:05" " 0:00:38" " 0:00:35" " 0:00:37" 0
"22/Oct/22 20:38" " 0:00:38" " 0:00:35" " 0:00:37" 0
"22/Oct/22 21:11" " 0:00:45" " 0:00:41" " 0:00:43" 0
"22/Oct/22 21:45" " 0:00:40" " 0:00:37" " 0:00:38" 0
"22/Oct/22 22:18" " 0:00:42" " 0:00:37" " 0:00:39" 0
"22/Oct/22 22:51" " 0:00:41" " 0:00:36" " 0:00:39" 0
"22/Oct/22 23:25" " 0:00:40" " 0:00:35" " 0:00:38" 0
"22/Oct/22 23:58" " 0:00:46" " 0:00:35" " 0:00:41" 0
"23/Oct/22 00:31" " 0:00:41" " 0:00:35" " 0:00:38" 0
"23/Oct/22 01:04" " 0:00:38" " 0:00:36" " 0:00:37" 0
"23/Oct/22 01:37" " 0:00:37" " 0:00:35" " 0:00:36" 0
"23/Oct/22 02:11" " 0:00:40" " 0:00:35" " 0:00:37" 0
"23/Oct/22 02:44" " 0:00:39" " 0:00:37" " 0:00:39" 0
"23/Oct/22 03:17" " 0:00:40" " 0:00:37" " 0:00:38" 0
