"Check Time" "Max Duration" "Min Duration" "Mean Duration" Errors
"22/Oct/22 03:13" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 03:43" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 04:13" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 04:44" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 05:14" " 0:00:07" " 0:00:03" " 0:00:04" 0
"22/Oct/22 05:44" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 06:15" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 06:45" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 07:15" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 07:46" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 08:16" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 08:46" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 09:17" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 09:47" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 10:17" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 10:48" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 11:18" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 11:48" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 12:19" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 12:49" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 13:19" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 13:50" " 0:00:10" " 0:00:03" " 0:00:05" 0
"22/Oct/22 14:20" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 14:50" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 15:21" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 15:51" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 16:21" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 16:52" " 0:00:05" " 0:00:03" " 0:00:04" 0
"22/Oct/22 17:22" " 0:00:04" " 0:00:02" " 0:00:03" 0
"22/Oct/22 17:53" " 0:00:07" " 0:00:03" " 0:00:04" 0
"22/Oct/22 18:23" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 18:53" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 19:24" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 19:54" " 0:00:05" " 0:00:03" " 0:00:03" 0
"22/Oct/22 20:24" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 20:54" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 21:25" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 21:55" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 22:26" " 0:00:05" " 0:00:04" " 0:00:04" 0
"22/Oct/22 22:56" " 0:00:04" " 0:00:03" " 0:00:04" 0
"22/Oct/22 23:26" " 0:00:04" " 0:00:03" " 0:00:03" 0
"22/Oct/22 23:57" " 0:00:06" " 0:00:03" " 0:00:04" 0
"23/Oct/22 00:27" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 00:57" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 01:28" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 01:58" " 0:00:04" " 0:00:03" " 0:00:03" 0
"23/Oct/22 02:28" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 02:59" " 0:00:04" " 0:00:03" " 0:00:04" 0
"23/Oct/22 03:29" " 0:00:04" " 0:00:03" " 0:00:03" 0
